Source IP,Generated,Received,Source Name,Facility,Severity,Tag,Origin,Message
192.168.0.1,01/01/14 00:13:04,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_wan.log]libzte_wan_wrapp.c 320 RECV CMD=1795 SEQ=780 SOURCE=4 DEST=4 paralen=512"
192.168.0.1,01/01/14 00:13:04,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_nwinfo.log]zte_wan_nwinfor.c 3910 zte_nwinfo_parsemsgq rev msg 0x703"
192.168.0.1,01/01/14 00:13:04,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_at.log]server.c 167 [info]    the at cmd is AT+ZRSSI"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_at.log]response.c 93 [info]    At res split acATBuf =<\0x0D><\0x0A>+ZRSSI:69,4,144<\0x0D><\0x0A><\0x0D><\0x0A>OK"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_nwinfo.log]zte_wan_nwinfor.c 2893 ZTE_wan_query_zrssi_info_interface:zte_zrssi_rsp.rssi69,zte_zrssi_rsp.ecio4,zte_zrssi_rsp.rscp144"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_at.log]server.c 167 [info]    the at cmd is AT+CSQ"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_at.log]response.c 93 [info]    At res split acATBuf =<\0x0D><\0x0A>+CSQ: 20, 99<\0x0D><\0x0A><\0x0D><\0x0A>OK"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_nwinfo.log]zte_wan_nwinfor.c 3004 ZTE_wan_query_csq_info_interface:zte_csq_rsp.sig20,zte_csq_rsp.ber99"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_wan.log]libzte_wan_wrapp.c 295 recv ..."
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_wan.log]libzte_wan_wrapp.c 320 RECV CMD=1794 SEQ=781 SOURCE=4 DEST=4 paralen=512"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_nwinfo.log]zte_wan_nwinfor.c 3910 zte_nwinfo_parsemsgq rev msg 0x702"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_at.log]server.c 167 [info]    the at cmd is AT+ZPAS?"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_at.log]response.c 93 [info]    At res split acATBuf =<\0x0D><\0x0A>+ZPAS: ""HSPA+"",""CS_PS""<\0x0D><\0x0A><\0x0D><\0x0A>OK"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_nwinfo.log]zte_wan_nwinfor.c 2688 ZTE_wan_map_network_char do nothing"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_nwinfo.log]zte_wan_nwinfor.c 2825 ZTE_wan_query_zpas_info_interface:zte_zpas_rsp.NetworkTypeHSPA+, zte_zpas_rsp.DomainCS_PS"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_wan.log]libzte_wan_wrapp.c 295 recv ..."
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_wan.log]libzte_wan_wrapp.c 320 RECV CMD=1798 SEQ=782 SOURCE=4 DEST=4 paralen=512"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_nwinfo.log]zte_wan_nwinfor.c 3910 zte_nwinfo_parsemsgq rev msg 0x706"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_at.log]server.c 167 [info]    the at cmd is AT+ZDON?"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_at.log]response.c 93 [info]    At res split acATBuf =<\0x0D><\0x0A>+ZDON: ""ZTE"",460,19,""ZTE"",460,19,""ROAM_OFF""<\0x0D><\0x0A><\0x0D><\0x0A>OK"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_cfg.log]zte_topsw_cfg.c 784 received data from client is:2400"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_cfg.log]zte_topsw_cfg.c 801 zte_client_send_msg->send ok"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,goahead[417],,"[zte_cfg.log]libzte_cfg.c 260 send item_id successful"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,goahead[417],,"[zte_LCD.log]libzte_lcd.c 316 zte_lcd_lib_sms_state:1;"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_mmi.log]mmi_message.c 1033 zte_lcd_parse_msg enter"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_mmi.log]mmi_message.c 1083 zte_lcd_parse_msg ZTE_LCD_LIB_MSG_SMS"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_mmi.log]mmi_message.c 1084 msg->module.sms = 0"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_mmi.log]mmi_message.c 76 UICallback: name=smsType,value=1"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_mmi.log]mmi_message.c 125 GET MSG type = 0"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_cfg.log]zte_topsw_cfg.c 784 received data from client is:2400"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_cfg.log]zte_topsw_cfg.c 801 zte_client_send_msg->send ok"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,goahead[417],,"[zte_cfg.log]libzte_cfg.c 260 send item_id successful"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_nwinfo.log]zte_wan_nwinfor.c 2646 ZTE_wan_query_zdon_info_interface:Rplmn, zte_zdon_rsp.RplmnNameZTE, zte_zdon_rsp.RplmnMcc460, zte_zdon_rsp.RplmnMnc19"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_nwinfo.log]zte_wan_nwinfor.c 2647 ZTE_wan_query_zdon_info_interface:Hplmn, zte_zdon_rsp.HplmnNameZTE, zte_zdon_rsp.HplmnMcc460, zte_zdon_rsp.HplmnMnc19"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_nwinfo.log]zte_wan_nwinfor.c 2648 ZTE_wan_query_zdon_info_interface:zte_zdon_rsp.RoamStateROAM_OFF"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_nwinfo.log]zte_wan_nwinfor.c 2539 zte_nwinfo_write_roam_nv:Home"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_at.log]server.c 167 [info]    the at cmd is AT+COPS?"
192.168.0.1,01/01/14 00:13:05,08/06/14 09:10:16,,user-level,Info,syslog,,"[zte_wan.log]libzte_wan_wrapp.c 320 RECV CMD=865 SEQ=253 SOURCE=2 DEST=2 paralen=512"
